User,AllocNodes,AllocCPUS,Elapsed,
oakif,2,2,00:01:14,
,1,1,00:01:14,
oakif,2,2,00:01:23,
,1,1,00:01:24,
oakif,2,2,00:00:05,
,1,1,00:00:05,
oakif,2,2,00:00:51,
,1,1,00:00:51,
oakif,2,2,00:00:36,
,1,1,00:00:36,
oakif,2,2,00:00:35,
,1,1,00:00:35,
oakif,2,2,00:00:44,
,1,1,00:00:44,
oakif,1,1,00:00:35,
,1,1,00:00:35,
oakif,1,1,00:00:38,
,1,1,00:00:38,
oakif,1,1,00:00:36,
,1,1,00:00:36,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:36,
,1,1,00:00:36,
oakif,1,1,00:00:36,
,1,1,00:00:36,
oakif,1,1,00:00:38,
,1,1,00:00:38,
oakif,1,1,00:00:36,
,1,1,00:00:36,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:53,
,1,1,00:00:53,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:06,
,1,1,00:00:06,
oakif,1,1,00:00:56,
,1,1,00:00:56,
oakif,1,1,00:00:37,
,1,1,00:00:37,
oakif,1,1,00:02:38,
,1,1,00:02:38,
damirkul,4,64,00:00:03,
,1,16,00:00:03,
,3,12,00:00:01,
oakif,1,1,00:00:35,
,1,1,00:00:35,
damirkul,1,1,1-02:23:44,
,1,1,1-02:23:44,
oakif,1,1,00:00:36,
,1,1,00:00:36,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:05,
,1,1,00:00:05,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:10,
,1,1,00:00:10,
oakif,1,1,00:00:03,
,1,1,00:00:03,
oakif,1,1,00:00:03,
,1,1,00:00:03,
hgandhi,1,12,02:00:15,
sjakymiw,1,1,00:18:12,
sjakymiw,1,1,02:00:21,
damirkul,2,64,21:04:31,
,1,32,21:04:32,
,1,1,21:04:33,
rbarret8,1,1,08:00:13,
oakif,1,1,00:00:03,
,1,1,00:00:03,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:05,
,1,1,00:00:05,
oakif,1,1,00:00:03,
,1,1,00:00:03,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:05,
,1,1,00:00:05,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:03,
,1,1,00:00:03,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:05,
,1,1,00:00:05,
oakif,1,1,00:00:03,
,1,1,00:00:03,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:03,
,1,1,00:00:03,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:04,
,1,1,00:00:04,
oakif,1,1,00:00:33,
,1,1,00:00:33,
oakif,1,1,00:00:33,
,1,1,00:00:33,
oakif,1,1,00:02:26,
,1,1,00:02:26,
oakif,1,1,00:00:22,
,1,1,00:00:22,
oakif,1,1,00:00:19,
,1,1,00:00:19,
sjakymiw,1,1,02:00:20,
oakif,1,1,00:00:19,
,1,1,00:00:19,
oakif,1,1,00:00:22,
,1,1,00:00:22,
oakif,1,1,00:00:22,
,1,1,00:00:22,
oakif,1,1,00:00:21,
,1,1,00:00:21,
oakif,1,1,00:00:44,
,1,1,00:00:44,
oakif,1,1,00:01:31,
,1,1,00:01:31,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:01:28,
,1,1,00:01:28,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:01,
,1,1,00:00:01,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:03,
,1,1,00:00:03,
oakif,1,1,00:00:03,
,1,1,00:00:03,
oakif,1,1,00:00:00,
,1,1,00:00:00,
oakif,1,1,00:00:03,
,1,1,00:00:03,
oakif,1,1,00:00:03,
,1,1,00:00:03,
oakif,1,1,00:00:00,
